Origin,Sector,Zone_consumption,SubZone_Consumption,Value,CSRD_sector
COL,"Growing spices, aromatic, drug and pharmaceutical crops industry",Rest of Europe,Eastern_Europe,7.02000328013443e-02,Outside EU law
ARG,"Growing spices, aromatic, drug and pharmaceutical crops industry",Rest of Europe,Eastern_Europe,5.71755438688318e-04,Outside EU law
COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",Rest of Europe,Eastern_Europe,9.23450445335325e-04,Outside EU law
AGO,"Growing spices, aromatic, drug and pharmaceutical crops industry",Rest of Europe,Eastern_Europe,0,Outside EU law
PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",Rest of Europe,Eastern_Europe,5.47333954288799e-02,Outside EU law
PRY,Growing rice industry,Rest of Europe,Eastern_Europe,2.96164406449966,Outside EU law
BRA,Growing rice industry,Rest of Europe,Eastern_Europe,2.21552372515732e-02,Outside EU law
AGO,Growing rice industry,Rest of Europe,Eastern_Europe,1.6789966004644e-04,Outside EU law
CIV,Growing rice industry,Rest of Europe,Eastern_Europe,0.877348657294466,Outside EU law
IDN,Growing rice industry,Rest of Europe,Eastern_Europe,0.176970442402754,Outside EU law
COL,Growing rice industry,Rest of Europe,Eastern_Europe,8.08284443038842e-02,Outside EU law
PER,Growing rice industry,Rest of Europe,Eastern_Europe,1.29904838850806e-03,Outside EU law
MYS,Growing rice industry,Rest of Europe,Eastern_Europe,1.35629343653057e-02,Outside EU law
ARG,Growing rice industry,Rest of Europe,Eastern_Europe,5.14559782355412e-04,Outside EU law
COD,Growing rice industry,Rest of Europe,Eastern_Europe,6.11242188975738e-02,Outside EU law
GHA,Growing rice industry,Rest of Europe,Eastern_Europe,0.112919140632114,Outside EU law
IDN,Growing sugar beet and cane industry,Rest of Europe,Eastern_Europe,23.6379162482947,Outside EU law
COD,Growing sugar beet and cane industry,Rest of Europe,Eastern_Europe,1.69907999220201e-02,Outside EU law
AGO,Growing sugar beet and cane industry,Rest of Europe,Eastern_Europe,4.13280386644268e-02,Outside EU law
BRA,Growing sugar beet and cane industry,Rest of Europe,Eastern_Europe,19.9619026644769,Outside EU law
PER,Growing sugar beet and cane industry,Rest of Europe,Eastern_Europe,0.400519070522092,Outside EU law
GHA,Growing sugar beet and cane industry,Rest of Europe,Eastern_Europe,4.1437906581571e-02,Outside EU law
ARG,Growing sugar beet and cane industry,Rest of Europe,Eastern_Europe,0.127013637721872,Outside EU law
COL,Growing sugar beet and cane industry,Rest of Europe,Eastern_Europe,22.1574364799971,Outside EU law
PRY,Growing sugar beet and cane industry,Rest of Europe,Eastern_Europe,0.136311483479049,Outside EU law
CIV,Growing sugar beet and cane industry,Rest of Europe,Eastern_Europe,0.582613573179758,Outside EU law
MYS,Growing sugar beet and cane industry,Rest of Europe,Eastern_Europe,0.580114317475319,Outside EU law
COL,"Growing vegetables, roots, tubers industry",Rest of Europe,Eastern_Europe,3.15638583875583,Outside EU law
MYS,"Growing vegetables, roots, tubers industry",Rest of Europe,Eastern_Europe,0.508054425422394,Outside EU law
ARG,"Growing vegetables, roots, tubers industry",Rest of Europe,Eastern_Europe,1.45119771376283,Outside EU law
PER,"Growing vegetables, roots, tubers industry",Rest of Europe,Eastern_Europe,0.34945478374667,Outside EU law
CIV,"Growing vegetables, roots, tubers industry",Rest of Europe,Eastern_Europe,19.2983279791466,Outside EU law
GHA,"Growing vegetables, roots, tubers industry",Rest of Europe,Eastern_Europe,22.2180518801566,Outside EU law
PRY,"Growing vegetables, roots, tubers industry",Rest of Europe,Eastern_Europe,0.391853611000298,Outside EU law
IDN,"Growing vegetables, roots, tubers industry",Rest of Europe,Eastern_Europe,0,Outside EU law
COD,"Growing vegetables, roots, tubers industry",Rest of Europe,Eastern_Europe,1.41223531754814,Outside EU law
AGO,"Growing vegetables, roots, tubers industry",Rest of Europe,Eastern_Europe,0.116800262960665,Outside EU law
BRA,"Growing vegetables, roots, tubers industry",Rest of Europe,Eastern_Europe,0.495407911171095,Outside EU law
IDN,Growing grapes industry,Rest of Europe,Eastern_Europe,0,Outside EU law
BRA,Growing grapes industry,Rest of Europe,Eastern_Europe,4.99487771453283e-04,Outside EU law
AGO,Growing grapes industry,Rest of Europe,Eastern_Europe,0,Outside EU law
PER,Growing grapes industry,Rest of Europe,Eastern_Europe,1.99935608508767,Outside EU law
PRY,Growing grapes industry,Rest of Europe,Eastern_Europe,3.74389769291896e-03,Outside EU law
MYS,Growing grapes industry,Rest of Europe,Eastern_Europe,0,Outside EU law
COL,Growing grapes industry,Rest of Europe,Eastern_Europe,7.74835225028653e-02,Outside EU law
COD,Growing grapes industry,Rest of Europe,Eastern_Europe,0,Outside EU law
CIV,Growing grapes industry,Rest of Europe,Eastern_Europe,0,Outside EU law
ARG,Growing grapes industry,Rest of Europe,Eastern_Europe,2.30201694876429e-02,Outside EU law
GHA,Growing grapes industry,Rest of Europe,Eastern_Europe,0,Outside EU law
ARG,Growing cereals n.e.c industry,Rest of Europe,Eastern_Europe,0.717866449920741,Outside EU law
PRY,Growing cereals n.e.c industry,Rest of Europe,Eastern_Europe,3.76087803305623,Outside EU law
AGO,Growing cereals n.e.c industry,Rest of Europe,Eastern_Europe,0.546779305876254,Outside EU law
CIV,Growing cereals n.e.c industry,Rest of Europe,Eastern_Europe,0.35113608106978,Outside EU law
GHA,Growing cereals n.e.c industry,Rest of Europe,Eastern_Europe,0.807150735579278,Outside EU law
IDN,Growing cereals n.e.c industry,Rest of Europe,Eastern_Europe,0,Outside EU law
BRA,Growing cereals n.e.c industry,Rest of Europe,Eastern_Europe,9.54278304740895,Outside EU law
MYS,Growing cereals n.e.c industry,Rest of Europe,Eastern_Europe,0,Outside EU law
COD,Growing cereals n.e.c industry,Rest of Europe,Eastern_Europe,2.57635167423614e-03,Outside EU law
PER,Growing cereals n.e.c industry,Rest of Europe,Eastern_Europe,0.615963248810256,Outside EU law
COL,Growing cereals n.e.c industry,Rest of Europe,Eastern_Europe,0.333220736236203,Outside EU law
COL,Growing maize industry,Rest of Europe,Eastern_Europe,14.5386345098404,Outside EU law
BRA,Growing maize industry,Rest of Europe,Eastern_Europe,94.0441826774978,Outside EU law
ARG,Growing maize industry,Rest of Europe,Eastern_Europe,3.08865538873695,Outside EU law
MYS,Growing maize industry,Rest of Europe,Eastern_Europe,0.354925973728557,Outside EU law
PRY,Growing maize industry,Rest of Europe,Eastern_Europe,70.5777361974791,Outside EU law
IDN,Growing maize industry,Rest of Europe,Eastern_Europe,236.74114063132,Outside EU law
PER,Growing maize industry,Rest of Europe,Eastern_Europe,1.46809489781403,Outside EU law
CIV,Growing maize industry,Rest of Europe,Eastern_Europe,10.7180039253165,Outside EU law
COD,Growing maize industry,Rest of Europe,Eastern_Europe,6.44861729583058,Outside EU law
GHA,Growing maize industry,Rest of Europe,Eastern_Europe,45.4324489538604,Outside EU law
AGO,Growing maize industry,Rest of Europe,Eastern_Europe,6.12974998862139,Outside EU law
CIV,Growing tobacco industry,Rest of Europe,Eastern_Europe,1.67245591998943e-04,Outside EU law
MYS,Growing tobacco industry,Rest of Europe,Eastern_Europe,0.159152878682105,Outside EU law
PRY,Growing tobacco industry,Rest of Europe,Eastern_Europe,0.16573426471623,Outside EU law
PER,Growing tobacco industry,Rest of Europe,Eastern_Europe,2.03557270818857e-03,Outside EU law
COD,Growing tobacco industry,Rest of Europe,Eastern_Europe,0.785991001443388,Outside EU law
BRA,Growing tobacco industry,Rest of Europe,Eastern_Europe,19.1154289746114,Outside EU law
GHA,Growing tobacco industry,Rest of Europe,Eastern_Europe,6.59523462809783,Outside EU law
IDN,Growing tobacco industry,Rest of Europe,Eastern_Europe,32.3737347084004,Outside EU law
COL,Growing tobacco industry,Rest of Europe,Eastern_Europe,2.50696495519742,Outside EU law
ARG,Growing tobacco industry,Rest of Europe,Eastern_Europe,0.155873099992113,Outside EU law
AGO,Growing tobacco industry,Rest of Europe,Eastern_Europe,9.21774669962388e-07,Outside EU law
GHA,Growing fibre crops industry,Rest of Europe,Eastern_Europe,4.09262978238538e-02,Outside EU law
BRA,Growing fibre crops industry,Rest of Europe,Eastern_Europe,28.3466168506849,Outside EU law
ARG,Growing fibre crops industry,Rest of Europe,Eastern_Europe,0.218003575296641,Outside EU law
MYS,Growing fibre crops industry,Rest of Europe,Eastern_Europe,0.441124563818564,Outside EU law
COL,Growing fibre crops industry,Rest of Europe,Eastern_Europe,0.167344159782463,Outside EU law
CIV,Growing fibre crops industry,Rest of Europe,Eastern_Europe,28.4055869705448,Outside EU law
IDN,Growing fibre crops industry,Rest of Europe,Eastern_Europe,0.218555874180672,Outside EU law
PER,Growing fibre crops industry,Rest of Europe,Eastern_Europe,0.598960212791444,Outside EU law
AGO,Growing fibre crops industry,Rest of Europe,Eastern_Europe,1.61840596483069e-05,Outside EU law
PRY,Growing fibre crops industry,Rest of Europe,Eastern_Europe,11.3282429469205,Outside EU law
COD,Growing fibre crops industry,Rest of Europe,Eastern_Europe,0.264554918022374,Outside EU law
COL,"Growing beverage crops (coffee, tea etc) industry",Rest of Europe,Eastern_Europe,35.7827900565291,Within EU law
PRY,"Growing beverage crops (coffee, tea etc) industry",Rest of Europe,Eastern_Europe,0.927250688293649,Within EU law
ARG,"Growing beverage crops (coffee, tea etc) industry",Rest of Europe,Eastern_Europe,2.34652421629622e-02,Within EU law
CIV,"Growing beverage crops (coffee, tea etc) industry",Rest of Europe,Eastern_Europe,18.641038232916,Within EU law
COD,"Growing beverage crops (coffee, tea etc) industry",Rest of Europe,Eastern_Europe,0.657223023187297,Within EU law
BRA,"Growing beverage crops (coffee, tea etc) industry",Rest of Europe,Eastern_Europe,7.70182418426319,Within EU law
PER,"Growing beverage crops (coffee, tea etc) industry",Rest of Europe,Eastern_Europe,18.3583905954542,Within EU law
MYS,"Growing beverage crops (coffee, tea etc) industry",Rest of Europe,Eastern_Europe,3.65390901307933e-03,Within EU law
IDN,"Growing beverage crops (coffee, tea etc) industry",Rest of Europe,Eastern_Europe,38.6247378694844,Within EU law
AGO,"Growing beverage crops (coffee, tea etc) industry",Rest of Europe,Eastern_Europe,2.34950887123769e-04,Within EU law
GHA,"Growing beverage crops (coffee, tea etc) industry",Rest of Europe,Eastern_Europe,2.66311392881121,Within EU law
COL,Growing crops n.e.c. industry,Rest of Europe,Eastern_Europe,0.857931480543992,Within EU law
ARG,Growing crops n.e.c. industry,Rest of Europe,Eastern_Europe,0,Within EU law
COD,Growing crops n.e.c. industry,Rest of Europe,Eastern_Europe,1.85082872906554e-02,Within EU law
GHA,Growing crops n.e.c. industry,Rest of Europe,Eastern_Europe,25.0994285883072,Within EU law
CIV,Growing crops n.e.c. industry,Rest of Europe,Eastern_Europe,10.7016973549839,Within EU law
AGO,Growing crops n.e.c. industry,Rest of Europe,Eastern_Europe,1.08016506644951e-03,Within EU law
PRY,Growing crops n.e.c. industry,Rest of Europe,Eastern_Europe,0,Within EU law
MYS,Growing crops n.e.c. industry,Rest of Europe,Eastern_Europe,0.414002916312937,Within EU law
IDN,Growing crops n.e.c. industry,Rest of Europe,Eastern_Europe,43.1468601710005,Within EU law
PER,Growing crops n.e.c. industry,Rest of Europe,Eastern_Europe,4.69267125203731,Within EU law
BRA,Growing crops n.e.c. industry,Rest of Europe,Eastern_Europe,4.69608241629763,Within EU law
COL,Growing wheat industry,Rest of Europe,Eastern_Europe,3.12136541283134e-02,Outside EU law
BRA,Growing wheat industry,Rest of Europe,Eastern_Europe,16.9958792822942,Outside EU law
AGO,Growing wheat industry,Rest of Europe,Eastern_Europe,3.11685367057027e-03,Outside EU law
PER,Growing wheat industry,Rest of Europe,Eastern_Europe,0.3809107380712,Outside EU law
PRY,Growing wheat industry,Rest of Europe,Eastern_Europe,8.66460373818438,Outside EU law
MYS,Growing wheat industry,Rest of Europe,Eastern_Europe,0,Outside EU law
CIV,Growing wheat industry,Rest of Europe,Eastern_Europe,0,Outside EU law
IDN,Growing wheat industry,Rest of Europe,Eastern_Europe,0,Outside EU law
ARG,Growing wheat industry,Rest of Europe,Eastern_Europe,4.73977092999875,Outside EU law
GHA,Growing wheat industry,Rest of Europe,Eastern_Europe,0,Outside EU law
COD,Growing wheat industry,Rest of Europe,Eastern_Europe,9.95623991551982e-03,Outside EU law
ARG,Growing leguminous crops and oil seeds industry,Rest of Europe,Eastern_Europe,7.57075498701423,Within EU law
CIV,Growing leguminous crops and oil seeds industry,Rest of Europe,Eastern_Europe,1.33844029960267,Within EU law
IDN,Growing leguminous crops and oil seeds industry,Rest of Europe,Eastern_Europe,3944.54686001881,Within EU law
BRA,Growing leguminous crops and oil seeds industry,Rest of Europe,Eastern_Europe,1179.06508925663,Within EU law
MYS,Growing leguminous crops and oil seeds industry,Rest of Europe,Eastern_Europe,421.026564491252,Within EU law
PER,Growing leguminous crops and oil seeds industry,Rest of Europe,Eastern_Europe,1.37843363627962,Within EU law
GHA,Growing leguminous crops and oil seeds industry,Rest of Europe,Eastern_Europe,18.2042021626173,Within EU law
COD,Growing leguminous crops and oil seeds industry,Rest of Europe,Eastern_Europe,0.100988601789885,Within EU law
COL,Growing leguminous crops and oil seeds industry,Rest of Europe,Eastern_Europe,8.7083456112187,Within EU law
PRY,Growing leguminous crops and oil seeds industry,Rest of Europe,Eastern_Europe,5565.23130752822,Within EU law
AGO,Growing leguminous crops and oil seeds industry,Rest of Europe,Eastern_Europe,0.29123003068375,Within EU law
IDN,Growing fruits and nuts industry,Oceania and Asia,South_Eastern_Asia,217.600361465997,Outside EU law
PRY,Growing fruits and nuts industry,Oceania and Asia,South_Eastern_Asia,1.69044770066417,Outside EU law
AGO,Growing fruits and nuts industry,Oceania and Asia,South_Eastern_Asia,0.885376153210913,Outside EU law
COD,Growing fruits and nuts industry,Oceania and Asia,South_Eastern_Asia,440.585017271482,Outside EU law
CIV,Growing fruits and nuts industry,Oceania and Asia,South_Eastern_Asia,763.865734357603,Outside EU law
MYS,Growing fruits and nuts industry,Oceania and Asia,South_Eastern_Asia,25.1303900905423,Outside EU law
PER,Growing fruits and nuts industry,Oceania and Asia,South_Eastern_Asia,5.09418711909231,Outside EU law
COL,Growing fruits and nuts industry,Oceania and Asia,South_Eastern_Asia,2.60867607388591,Outside EU law
BRA,Growing fruits and nuts industry,Oceania and Asia,South_Eastern_Asia,8.20724669955248e-02,Outside EU law
GHA,Growing fruits and nuts industry,Oceania and Asia,South_Eastern_Asia,1637.3868954455,Outside EU law
ARG,Growing fruits and nuts industry,Oceania and Asia,South_Eastern_Asia,0.102189791297567,Outside EU law
BRA,Raising of cattle industry,Oceania and Asia,South_Eastern_Asia,94.745531144454,Within EU law
PRY,Raising of cattle industry,Oceania and Asia,South_Eastern_Asia,31.5061062107366,Within EU law
GHA,Raising of cattle industry,Oceania and Asia,South_Eastern_Asia,34.894558218695,Within EU law
CIV,Raising of cattle industry,Oceania and Asia,South_Eastern_Asia,3.16070498201235,Within EU law
MYS,Raising of cattle industry,Oceania and Asia,South_Eastern_Asia,23.9649057232575,Within EU law
IDN,Raising of cattle industry,Oceania and Asia,South_Eastern_Asia,114.268577669424,Within EU law
ARG,Raising of cattle industry,Oceania and Asia,South_Eastern_Asia,266.895012132376,Within EU law
AGO,Raising of cattle industry,Oceania and Asia,South_Eastern_Asia,20.4210218467631,Within EU law
PER,Raising of cattle industry,Oceania and Asia,South_Eastern_Asia,10.43153808549,Within EU law
COD,Raising of cattle industry,Oceania and Asia,South_Eastern_Asia,664.064655185201,Within EU law
COL,Raising of cattle industry,Oceania and Asia,South_Eastern_Asia,46.435136325536,Within EU law
BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,South_Eastern_Asia,0.191302682478929,Outside EU law
IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,South_Eastern_Asia,763.891168593369,Outside EU law
MYS,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,South_Eastern_Asia,215.500234388773,Outside EU law
CIV,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,South_Eastern_Asia,0.763882778778954,Outside EU law
PER,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,South_Eastern_Asia,0.466136160769519,Outside EU law
GHA,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,South_Eastern_Asia,0.156106735501867,Outside EU law
COL,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,South_Eastern_Asia,0.133937759188255,Outside EU law
ARG,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,South_Eastern_Asia,2.04681778535822e-03,Outside EU law
COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,South_Eastern_Asia,2.28155044575359,Outside EU law
AGO,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,South_Eastern_Asia,0,Outside EU law
PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,South_Eastern_Asia,7.86515331581372e-02,Outside EU law
PRY,Growing rice industry,Oceania and Asia,South_Eastern_Asia,23.4448148369174,Outside EU law
BRA,Growing rice industry,Oceania and Asia,South_Eastern_Asia,5.48911399944171e-02,Outside EU law
AGO,Growing rice industry,Oceania and Asia,South_Eastern_Asia,1.21094834560329e-02,Outside EU law
CIV,Growing rice industry,Oceania and Asia,South_Eastern_Asia,1.039093566523,Outside EU law
IDN,Growing rice industry,Oceania and Asia,South_Eastern_Asia,11.7152668665246,Outside EU law
COL,Growing rice industry,Oceania and Asia,South_Eastern_Asia,5.61804877299398e-02,Outside EU law
PER,Growing rice industry,Oceania and Asia,South_Eastern_Asia,2.00317769511259e-02,Outside EU law
MYS,Growing rice industry,Oceania and Asia,South_Eastern_Asia,1.01993632304034,Outside EU law
ARG,Growing rice industry,Oceania and Asia,South_Eastern_Asia,1.05267310531053e-03,Outside EU law
COD,Growing rice industry,Oceania and Asia,South_Eastern_Asia,3.79272426997091,Outside EU law
GHA,Growing rice industry,Oceania and Asia,South_Eastern_Asia,2.10865077572013,Outside EU law
IDN,Growing sugar beet and cane industry,Oceania and Asia,South_Eastern_Asia,54.2577213733635,Outside EU law
COD,Growing sugar beet and cane industry,Oceania and Asia,South_Eastern_Asia,7.69681923693639,Outside EU law
AGO,Growing sugar beet and cane industry,Oceania and Asia,South_Eastern_Asia,46.720095942933,Outside EU law
BRA,Growing sugar beet and cane industry,Oceania and Asia,South_Eastern_Asia,74.2143191649989,Outside EU law
PER,Growing sugar beet and cane industry,Oceania and Asia,South_Eastern_Asia,0.898818060723152,Outside EU law
GHA,Growing sugar beet and cane industry,Oceania and Asia,South_Eastern_Asia,0.120633428769721,Outside EU law
ARG,Growing sugar beet and cane industry,Oceania and Asia,South_Eastern_Asia,9.76370318310355e-02,Outside EU law
COL,Growing sugar beet and cane industry,Oceania and Asia,South_Eastern_Asia,6.66180930250927,Outside EU law
PRY,Growing sugar beet and cane industry,Oceania and Asia,South_Eastern_Asia,0.650548430886275,Outside EU law
CIV,Growing sugar beet and cane industry,Oceania and Asia,South_Eastern_Asia,0.330621824819877,Outside EU law
MYS,Growing sugar beet and cane industry,Oceania and Asia,South_Eastern_Asia,17.2661865800163,Outside EU law
COL,"Growing vegetables, roots, tubers industry",Oceania and Asia,South_Eastern_Asia,2.35926445402944,Outside EU law
MYS,"Growing vegetables, roots, tubers industry",Oceania and Asia,South_Eastern_Asia,39.439568843835,Outside EU law
ARG,"Growing vegetables, roots, tubers industry",Oceania and Asia,South_Eastern_Asia,1.70260287907111,Outside EU law
PER,"Growing vegetables, roots, tubers industry",Oceania and Asia,South_Eastern_Asia,1.31282042562478,Outside EU law
CIV,"Growing vegetables, roots, tubers industry",Oceania and Asia,South_Eastern_Asia,14.2736352131516,Outside EU law
GHA,"Growing vegetables, roots, tubers industry",Oceania and Asia,South_Eastern_Asia,74.6754662297103,Outside EU law
PRY,"Growing vegetables, roots, tubers industry",Oceania and Asia,South_Eastern_Asia,0.200190849354905,Outside EU law
IDN,"Growing vegetables, roots, tubers industry",Oceania and Asia,South_Eastern_Asia,0,Outside EU law
COD,"Growing vegetables, roots, tubers industry",Oceania and Asia,South_Eastern_Asia,348.066596934801,Outside EU law
AGO,"Growing vegetables, roots, tubers industry",Oceania and Asia,South_Eastern_Asia,1.06073178423263,Outside EU law
BRA,"Growing vegetables, roots, tubers industry",Oceania and Asia,South_Eastern_Asia,2.94150268620802,Outside EU law
IDN,Growing grapes industry,Oceania and Asia,South_Eastern_Asia,0,Outside EU law
BRA,Growing grapes industry,Oceania and Asia,South_Eastern_Asia,6.43999326486957e-03,Outside EU law
AGO,Growing grapes industry,Oceania and Asia,South_Eastern_Asia,0,Outside EU law
PER,Growing grapes industry,Oceania and Asia,South_Eastern_Asia,5.67941971661433,Outside EU law
PRY,Growing grapes industry,Oceania and Asia,South_Eastern_Asia,1.28669500488634e-02,Outside EU law
MYS,Growing grapes industry,Oceania and Asia,South_Eastern_Asia,0,Outside EU law
COL,Growing grapes industry,Oceania and Asia,South_Eastern_Asia,3.20679338275695e-03,Outside EU law
COD,Growing grapes industry,Oceania and Asia,South_Eastern_Asia,0,Outside EU law
CIV,Growing grapes industry,Oceania and Asia,South_Eastern_Asia,0,Outside EU law
ARG,Growing grapes industry,Oceania and Asia,South_Eastern_Asia,1.20262130500433e-02,Outside EU law
GHA,Growing grapes industry,Oceania and Asia,South_Eastern_Asia,0,Outside EU law
ARG,Growing cereals n.e.c industry,Oceania and Asia,South_Eastern_Asia,3.73211175452411,Outside EU law
PRY,Growing cereals n.e.c industry,Oceania and Asia,South_Eastern_Asia,3.09399897773326,Outside EU law
AGO,Growing cereals n.e.c industry,Oceania and Asia,South_Eastern_Asia,1.06208825935247,Outside EU law
CIV,Growing cereals n.e.c industry,Oceania and Asia,South_Eastern_Asia,0.976854118025385,Outside EU law
GHA,Growing cereals n.e.c industry,Oceania and Asia,South_Eastern_Asia,3.25335902001339,Outside EU law
IDN,Growing cereals n.e.c industry,Oceania and Asia,South_Eastern_Asia,0,Outside EU law
BRA,Growing cereals n.e.c industry,Oceania and Asia,South_Eastern_Asia,69.0342638249303,Outside EU law
MYS,Growing cereals n.e.c industry,Oceania and Asia,South_Eastern_Asia,0,Outside EU law
COD,Growing cereals n.e.c industry,Oceania and Asia,South_Eastern_Asia,0.326387206810381,Outside EU law
PER,Growing cereals n.e.c industry,Oceania and Asia,South_Eastern_Asia,1.44600998219401,Outside EU law
COL,Growing cereals n.e.c industry,Oceania and Asia,South_Eastern_Asia,0.216426242947568,Outside EU law
COL,Growing maize industry,Oceania and Asia,South_Eastern_Asia,2.79225476796626,Outside EU law
BRA,Growing maize industry,Oceania and Asia,South_Eastern_Asia,3642.74076729439,Outside EU law
ARG,Growing maize industry,Oceania and Asia,South_Eastern_Asia,244.188867593691,Outside EU law
MYS,Growing maize industry,Oceania and Asia,South_Eastern_Asia,32.3313184315956,Outside EU law
PRY,Growing maize industry,Oceania and Asia,South_Eastern_Asia,973.976335429269,Outside EU law
IDN,Growing maize industry,Oceania and Asia,South_Eastern_Asia,1389.06193175043,Outside EU law
PER,Growing maize industry,Oceania and Asia,South_Eastern_Asia,2.52090563914095,Outside EU law
CIV,Growing maize industry,Oceania and Asia,South_Eastern_Asia,8.39080751342063,Outside EU law
COD,Growing maize industry,Oceania and Asia,South_Eastern_Asia,3.06719823501965,Outside EU law
GHA,Growing maize industry,Oceania and Asia,South_Eastern_Asia,117.692200221422,Outside EU law
AGO,Growing maize industry,Oceania and Asia,South_Eastern_Asia,11.8754993587882,Outside EU law
CIV,Growing tobacco industry,Oceania and Asia,South_Eastern_Asia,8.01604565922194e-02,Outside EU law
MYS,Growing tobacco industry,Oceania and Asia,South_Eastern_Asia,5.37361407025377,Outside EU law
PRY,Growing tobacco industry,Oceania and Asia,South_Eastern_Asia,0.344332552701036,Outside EU law
PER,Growing tobacco industry,Oceania and Asia,South_Eastern_Asia,3.02227308147509e-03,Outside EU law
COD,Growing tobacco industry,Oceania and Asia,South_Eastern_Asia,3.55141894097893e-03,Outside EU law
BRA,Growing tobacco industry,Oceania and Asia,South_Eastern_Asia,23.4583210724871,Outside EU law
GHA,Growing tobacco industry,Oceania and Asia,South_Eastern_Asia,1.03068322250268,Outside EU law
IDN,Growing tobacco industry,Oceania and Asia,South_Eastern_Asia,365.605349018817,Outside EU law
COL,Growing tobacco industry,Oceania and Asia,South_Eastern_Asia,1.98727627654894,Outside EU law
ARG,Growing tobacco industry,Oceania and Asia,South_Eastern_Asia,0.103021396686872,Outside EU law
AGO,Growing tobacco industry,Oceania and Asia,South_Eastern_Asia,9.83608433203156e-06,Outside EU law
GHA,Growing fibre crops industry,Oceania and Asia,South_Eastern_Asia,0.950723327671542,Outside EU law
BRA,Growing fibre crops industry,Oceania and Asia,South_Eastern_Asia,823.049945444209,Outside EU law
ARG,Growing fibre crops industry,Oceania and Asia,South_Eastern_Asia,25.1464148950273,Outside EU law
MYS,Growing fibre crops industry,Oceania and Asia,South_Eastern_Asia,20.0251225455242,Outside EU law
COL,Growing fibre crops industry,Oceania and Asia,South_Eastern_Asia,1.45477531163333,Outside EU law
CIV,Growing fibre crops industry,Oceania and Asia,South_Eastern_Asia,624.505788753372,Outside EU law
IDN,Growing fibre crops industry,Oceania and Asia,South_Eastern_Asia,8.03984955284953,Outside EU law
PER,Growing fibre crops industry,Oceania and Asia,South_Eastern_Asia,3.96051720719177,Outside EU law
AGO,Growing fibre crops industry,Oceania and Asia,South_Eastern_Asia,3.16021795553343e-04,Outside EU law
PRY,Growing fibre crops industry,Oceania and Asia,South_Eastern_Asia,119.974889577942,Outside EU law
COD,Growing fibre crops industry,Oceania and Asia,South_Eastern_Asia,139.776255956859,Outside EU law
COL,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,South_Eastern_Asia,15.8385114462617,Within EU law
PRY,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,South_Eastern_Asia,0.791116287346861,Within EU law
ARG,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,South_Eastern_Asia,0.118378697293405,Within EU law
CIV,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,South_Eastern_Asia,34.4196964989572,Within EU law
COD,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,South_Eastern_Asia,11.5822037763887,Within EU law
BRA,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,South_Eastern_Asia,3.41076358574232,Within EU law
PER,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,South_Eastern_Asia,4.4232772461511,Within EU law
MYS,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,South_Eastern_Asia,0.217713346256079,Within EU law
IDN,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,South_Eastern_Asia,34.9566668064415,Within EU law
AGO,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,South_Eastern_Asia,6.894410991401e-03,Within EU law
GHA,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,South_Eastern_Asia,0.284766932249727,Within EU law
COL,Growing crops n.e.c. industry,Oceania and Asia,South_Eastern_Asia,5.55528039284959,Within EU law
ARG,Growing crops n.e.c. industry,Oceania and Asia,South_Eastern_Asia,0,Within EU law
COD,Growing crops n.e.c. industry,Oceania and Asia,South_Eastern_Asia,7.03326011123689,Within EU law
GHA,Growing crops n.e.c. industry,Oceania and Asia,South_Eastern_Asia,163.498119392466,Within EU law
CIV,Growing crops n.e.c. industry,Oceania and Asia,South_Eastern_Asia,138.185755195659,Within EU law
AGO,Growing crops n.e.c. industry,Oceania and Asia,South_Eastern_Asia,5.37499004059738e-03,Within EU law
PRY,Growing crops n.e.c. industry,Oceania and Asia,South_Eastern_Asia,0,Within EU law
